Impulse,Response,Step,Value,Lower_CI,Upper_CI
goal13,goal4,5,-1.8295929508838175e-05,-5.49758784797795e-05,1.8384019462103155e-05
goal13,goal4,6,2.2061050826454217e-06,-2.718912310501731e-06,7.131122475792574e-06
goal13,goal4,7,-2.66039530099478e-07,-9.28092868116408e-07,3.96013807917452e-07
goal13,goal4,8,3.276797666893414e-08,-5.658484968988201e-08,1.221208030277503e-07
goal13,goal4,9,-4.065872644358026e-09,-1.6164629824641324e-08,8.032884535925272e-09
goal13,goal4,10,5.089101607155485e-10,-1.1314680586242713e-09,2.149288380055368e-09
goal16,goal4,0,0.0,0.0,0.0
goal16,goal4,1,0.07242225298580578,1.9542509122838503e-05,0.14482496346248871
goal16,goal4,2,0.00010058426897657262,-0.007274966550368528,0.007476135088321674
goal16,goal4,3,0.0002459029437325475,-0.0007312211559270991,0.0012230270433921941
goal16,goal4,4,2.4756707506967933e-06,-0.00011783327360391515,0.00012278461510530875
goal16,goal4,5,2.1632566277415385e-07,-1.5079881162734607e-05,1.5512532488282915e-05
goal16,goal4,6,8.431766404932154e-08,-1.8586479627274088e-06,2.0272832908260517e-06
goal16,goal4,7,-8.918524884686827e-09,-2.606229265854732e-07,2.427858768160995e-07
goal16,goal4,8,1.4986742686149834e-09,-3.141395351251793e-08,3.441130204974789e-08
goal16,goal4,9,-1.962134243830906e-10,-4.5238639038393325e-09,4.131437055073151e-09
goal16,goal4,10,2.8430955004305292e-11,-5.410779208296425e-10,5.97939830838253e-10
goal1,goal7,0,-0.0017832429758305967,-0.0017832429758305967,-0.0017832429758305967
goal1,goal7,1,-0.01959365643283023,-0.036655788644465254,-0.0025315242211952083
goal1,goal7,2,0.003308982791099291,0.0006309678757831106,0.005986997706415471
goal1,goal7,3,-0.00037115150364521533,-0.0007481697689977345,5.866761707303935e-06
goal1,goal7,4,4.369661565127317e-05,-8.609404902846147e-06,9.600263620539249e-05
goal1,goal7,5,-5.1749228521462806e-06,-1.2475994573277422e-05,2.126148868984861e-06
goal1,goal7,6,6.557366566557526e-07,-3.6972111792613246e-07,1.6811944312376375e-06
goal1,goal7,7,-8.514460531335097e-08,-2.295289422774189e-07,5.923973165071695e-08
goal1,goal7,8,1.12116273978757e-08,-9.105364062666344e-09,3.152861885841774e-08
goal1,goal7,9,-1.4709784348774492e-09,-4.321634654476593e-09,1.3796777847216948e-09
goal1,goal7,10,1.9173250267449957e-10,-2.0661722830368055e-10,5.900822336526797e-10
goal3,goal7,0,0.028838238163580096,0.028838238163580096,0.028838238163580096
goal3,goal7,1,0.025318310943233335,-0.017099654516831243,0.06773627640329791
goal3,goal7,2,-0.00451089698625283,-0.013844530535842458,0.004822736563336798
goal3,goal7,3,0.0008200859387033429,-0.0008440843846224819,0.0024842562620291677
goal3,goal7,4,-0.0001217682617357416,-0.0003922187154373851,0.0001486821919659019
goal3,goal7,5,1.7482610908669514e-05,-2.423841231309655e-05,5.9203634130435576e-05
goal3,goal7,6,-2.393100307304584e-06,-8.64659374377333e-06,3.860393129164162e-06
goal3,goal7,7,3.215584653362092e-07,-5.972621341597466e-07,1.2403790648321649e-06
goal3,goal7,8,-4.2475474209401626e-08,-1.7556079190116285e-07,9.060984348235962e-08
goal3,goal7,9,5.555365573499389e-09,-1.3502789255260017e-08,2.4613520402258796e-08
goal3,goal7,10,-7.20748799183663e-10,-3.424107893693249e-09,1.982610295325923e-09
goal4,goal7,0,-0.042126415290256757,-0.042126415290256757,-0.042126415290256757
goal4,goal7,1,0.016935641950039215,0.0012522904762508058,0.032618993423827625
goal4,goal7,2,-0.0016811863956922727,-0.0043298281303267815,0.0009674553389422361
goal4,goal7,3,0.00012215885249207637,-0.000264938693027144,0.0005092563980112967
goal4,goal7,4,9.213642170723892e-07,-5.2540230710605997e-05,5.4382959144750774e-05
goal4,goal7,5,-1.6279061008064482e-06,-8.919061920818935e-06,5.663249719206038e-06
goal4,goal7,6,3.464513988275395e-07,-6.447536320325214e-07,1.3376564296876003e-06
goal4,goal7,7,-5.501755636388912e-08,-1.901275822898125e-07,8.009246956203427e-08
goal4,goal7,8,7.938122804397629e-09,-1.0542938352506964e-08,2.641918396130222e-08
goal4,goal7,9,-1.0955445310031803e-09,-3.629148355617117e-09,1.4380592936107563e-09
goal4,goal7,10,1.4851390405426754e-10,-1.990039330079456e-10,4.960317411164807e-10
goal7,goal7,0,1.3654628599267513,1.3654628599267513,1.3654628599267513
goal7,goal7,1,-0.15853943704637483,-0.18997434045227884,-0.1271045336404708
goal7,goal7,2,0.018940391466010748,0.011478761283103291,0.026402021648918205
goal7,goal7,3,-0.002247980150333432,-0.0036053090914293564,-0.0008906512092375076
goal7,goal7,4,0.0002701142657713891,4.8153743908140056e-05,0.0004920747876346382
goal7,goal7,5,-3.26223398300671e-05,-6.691463297398662e-05,1.6699533138524197e-06
goal7,goal7,6,3.979011254556855e-06,-1.1409094530761312e-06,9.098931962189841e-06
goal7,goal7,7,-4.891096833124422e-07,-1.236492709751733e-06,2.582733431268486e-07
goal7,goal7,8,6.057384018249481e-08,-4.6840474623798804e-08,1.6798815498878842e-07
goal7,goal7,9,-7.544018643290615e-09,-2.280447195946612e-08,7.716434672884888e-09
goal7,goal7,10,9.436669017901414e-10,-1.2047364466672465e-09,3.0920702502475294e-09
goal8,goal7,0,0.0,0.0,0.0
goal8,goal7,1,-0.016012974648085244,-0.05367583637539911,0.021649887079228623
goal8,goal7,2,0.0009928445248292108,-0.006390436388339652,0.008376125437998073
goal8,goal7,3,-0.00013286887703260254,-0.001411885906259853,0.001146148152194648
goal8,goal7,4,1.3426168090097725e-05,-0.00018451298132705506,0.0002113653175072505
goal8,goal7,5,-1.9083847381831308e-06,-3.069403719274337e-05,2.6877267716377113e-05
goal8,goal7,6,2.691856795536274e-07,-3.7454985142493257e-06,4.283869873356581e-06
goal8,goal7,7,-4.063610494212318e-08,-5.845499517011502e-07,5.032777418169038e-07
goal8,goal7,8,6.036832066454826e-09,-6.616432905056187e-08,7.823799318347151e-08
goal8,goal7,9,-8.865329108843864e-10,-1.0331509755346409e-08,8.558443933577636e-09
goal8,goal7,10,1.271909122075412e-10,-1.09546623533769e-09,1.3498480597527724e-09
goal10,goal7,0,0.0,0.0,0.0
goal10,goal7,1,-0.02296946690474249,-0.03310556522833977,-0.01283336858114521
goal10,goal7,2,0.0044450880324778865,0.0022945628152373993,0.006595613249718374
goal10,goal7,3,-0.0007071553792023215,-0.0010568668116719391,-0.0003574439467327037
goal10,goal7,4,8.652431369790426e-05,3.522733059073414e-05,0.00013782129680507438
goal10,goal7,5,-9.562703778296509e-06,-1.667221650586228e-05,-2.453191050730738e-06
goal10,goal7,6,9.681354505503657e-07,1.3639414649032643e-08,1.922631486451699e-06
goal10,goal7,7,-9.468567247674547e-08,-2.203816158458398e-07,3.1010270892348864e-08
