Group,Impulse,Response,Step,Value
HIC,goal16,goal10,3,-0.005805370410892929
HIC,goal16,goal10,4,0.001530211267990102
HIC,goal16,goal10,5,-0.00032531510413020344
HIC,goal16,goal10,6,7.897154643310104e-05
HIC,goal16,goal10,7,-1.5346202368189692e-05
HIC,goal16,goal10,8,3.6924688173031015e-06
HIC,goal16,goal10,9,-6.91603164842116e-07
HIC,goal16,goal10,10,1.6873743634451266e-07
HIC,goal1,goal13,0,-0.02029678754987891
HIC,goal1,goal13,1,-0.051008477978866915
HIC,goal1,goal13,2,0.01073367519898829
HIC,goal1,goal13,3,-0.0022451903838750435
HIC,goal1,goal13,4,0.00027761875995343133
HIC,goal1,goal13,5,-9.019774283412309e-05
HIC,goal1,goal13,6,1.129373979006346e-05
HIC,goal1,goal13,7,-3.956438223940993e-06
HIC,goal1,goal13,8,4.016057119863275e-07
HIC,goal1,goal13,9,-1.840836099008225e-07
HIC,goal1,goal13,10,1.535942349782245e-08
HIC,goal3,goal13,0,-0.23718867849178837
HIC,goal3,goal13,1,-0.060499103481573814
HIC,goal3,goal13,2,0.008534131234293318
HIC,goal3,goal13,3,0.0009642024176925592
HIC,goal3,goal13,4,0.000226861152071349
HIC,goal3,goal13,5,-1.8107210685512555e-05
HIC,goal3,goal13,6,1.679372892337176e-05
HIC,goal3,goal13,7,-2.6395105618584045e-08
HIC,goal3,goal13,8,8.820851550336893e-07
HIC,goal3,goal13,9,-5.39856868985598e-09
HIC,goal3,goal13,10,4.732193246791346e-08
HIC,goal4,goal13,0,0.06767612611154245
HIC,goal4,goal13,1,0.013090293710285346
HIC,goal4,goal13,2,0.021140949623832825
HIC,goal4,goal13,3,-0.0019221666698102256
HIC,goal4,goal13,4,-0.00012952519210727336
HIC,goal4,goal13,5,5.61061069886376e-05
HIC,goal4,goal13,6,-6.569288887162349e-06
HIC,goal4,goal13,7,3.5899740160156838e-06
HIC,goal4,goal13,8,-7.394401572281595e-07
HIC,goal4,goal13,9,2.3534229954052229e-07
HIC,goal4,goal13,10,-3.957683015550296e-08
HIC,goal7,goal13,0,0.5206437010671721
